Dt_Customer,Dt_Customer_day,Dt_Customer_month,Dt_Customer_year,Age_Customer,Year_Birth,Education,Marital_Status,Kidhome,Teenhome,Income,Monthly_Income,Monthly_Income_Group,Recency,MntFishProducts,MntMeatProducts,MntFruits,MntSweetProducts,MntWines,MntGoldProds,NumDealsPurchases,NumCatalogPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Complain,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Qtd_Accepted,Accepted
2012-09-04,4,Sep,2012,55,1957,Graduation,Single,0,0,58138.0,4844.833333333333,between 3000 and 5000,58,172,546,88,88,635,88,3,10,4,8,7,0,0,0,0,0,0,1,1,Yes
2014-03-08,8,Mar,2014,60,1954,Graduation,Single,1,1,46344.0,3862.0,between 3000 and 5000,38,2,6,1,1,11,6,2,1,2,1,5,0,0,0,0,0,0,0,0,No
2013-08-21,21,Aug,2013,48,1965,Graduation,Together,0,0,71613.0,5967.75,between 5000 and 7000,26,111,127,49,21,426,42,1,2,10,8,4,0,0,0,0,0,0,0,0,No
2014-02-10,10,Feb,2014,30,1984,Graduation,Together,1,0,26646.0,2220.5,between 1000 and 3000,26,10,20,4,3,11,5,2,0,4,2,6,0,0,0,0,0,0,0,0,No
2014-01-19,19,Jan,2014,33,1981,PhD,Married,1,0,58293.0,4857.75,between 3000 and 5000,94,46,118,43,27,173,15,5,3,6,5,5,0,0,0,0,0,0,0,0,No
2013-09-09,9,Sep,2013,46,1967,Master,Together,0,1,62513.0,5209.416666666667,between 5000 and 7000,16,0,98,42,42,520,14,2,4,10,6,6,0,0,0,0,0,0,0,0,No
2012-11-13,13,Nov,2012,41,1971,Graduation,Divorced,0,1,55635.0,4636.25,between 3000 and 5000,34,50,164,65,49,235,27,4,3,7,7,6,0,0,0,0,0,0,0,0,No
2013-05-08,8,May,2013,28,1985,PhD,Married,1,0,33454.0,2787.8333333333335,between 1000 and 3000,32,3,56,10,1,76,23,2,0,4,4,8,0,0,0,0,0,0,0,0,No
2013-06-06,6,Jun,2013,39,1974,PhD,Together,1,0,30351.0,2529.25,between 1000 and 3000,19,3,24,0,3,14,2,1,0,2,3,9,0,0,0,0,0,0,1,1,Yes
2014-03-13,13,Mar,2014,64,1950,PhD,Together,1,1,5648.0,470.6666666666667,lower than 1000,68,1,6,0,1,28,13,1,0,0,1,20,0,0,0,1,0,0,0,1,Yes
2012-11-13,13,Nov,2012,36,1976,Basic,Married,0,0,7500.0,625.0,lower than 1000,59,11,11,16,1,6,16,1,0,3,2,8,0,0,0,0,0,0,0,0,No
2013-11-15,15,Nov,2013,54,1959,Graduation,Divorced,0,0,63033.0,5252.75,between 5000 and 7000,82,225,480,61,112,194,30,1,4,8,3,2,0,0,0,0,0,0,0,0,No
2013-11-15,15,Nov,2013,61,1952,Master,Divorced,1,1,59354.0,4946.166666666667,between 3000 and 5000,53,3,53,2,5,233,14,3,1,5,6,6,0,0,0,0,0,0,0,0,No
2012-10-10,10,Oct,2012,25,1987,Graduation,Married,0,0,17323.0,1443.5833333333333,between 1000 and 3000,38,6,17,14,1,3,5,1,0,3,1,8,0,0,0,0,0,0,0,0,No
2012-11-24,24,Nov,2012,66,1946,PhD,Single,0,0,82800.0,6900.0,between 5000 and 7000,23,59,115,22,68,1006,45,1,6,12,7,3,0,1,0,0,0,1,1,3,Yes
2012-12-24,24,Dec,2012,32,1980,Graduation,Married,1,1,41850.0,3487.5,between 3000 and 5000,51,2,19,5,13,53,4,3,0,3,3,8,0,0,0,0,0,0,0,0,No
2012-08-31,31,Aug,2012,66,1946,Graduation,Together,0,0,37760.0,3146.6666666666665,between 3000 and 5000,20,150,38,5,12,84,28,2,1,6,4,7,0,0,0,0,0,0,0,0,No
2013-03-28,28,Mar,2013,64,1949,Master,Married,0,1,76995.0,6416.25,between 5000 and 7000,91,0,498,80,16,1012,176,2,4,9,11,5,0,1,0,0,0,0,0,1,Yes
2012-11-03,3,Nov,2012,27,1985,2n Cycle,Single,1,0,33812.0,2817.6666666666665,between 1000 and 3000,86,30,19,17,24,4,39,2,1,3,2,6,0,0,0,0,0,0,0,0,No
2012-08-08,8,Aug,2012,30,1982,Graduation,Married,0,0,37040.0,3086.6666666666665,between 3000 and 5000,41,69,73,2,38,86,48,1,2,5,4,8,0,0,0,0,0,0,0,0,No
2013-01-06,6,Jan,2013,34,1979,Graduation,Married,1,0,2447.0,203.91666666666666,lower than 1000,42,1,1725,1,1,1,1,15,28,0,0,1,0,0,0,0,0,0,0,0,No
2012-12-23,23,Dec,2012,63,1949,PhD,Married,0,1,58607.0,4883.916666666667,between 3000 and 5000,63,0,86,0,0,867,19,3,3,9,2,8,0,0,0,0,1,0,0,1,Yes
2014-01-11,11,Jan,2014,60,1954,PhD,Married,0,1,65324.0,5443.666666666667,between 5000 and 7000,0,21,102,0,32,384,5,3,2,9,6,4,0,0,0,0,0,0,0,0,No
2013-03-18,18,Mar,2013,62,1951,Graduation,Together,0,1,40689.0,3390.75,between 3000 and 5000,69,39,27,3,6,270,99,7,1,5,7,8,0,0,0,0,0,0,0,0,No
2013-01-02,2,Jan,2013,44,1969,Graduation,Single,0,0,18589.0,1549.0833333333333,between 1000 and 3000,89,15,25,4,12,6,13,2,1,3,2,7,0,0,0,0,0,0,0,0,No
2013-05-27,27,May,2013,37,1976,Graduation,Married,1,1,53359.0,4446.583333333333,between 3000 and 5000,4,3,30,4,6,173,41,4,1,4,5,7,0,0,0,0,0,0,0,0,No
2013-05-31,31,May,2013,24,1989,Graduation,Married,1,0,38360.0,3196.6666666666665,between 3000 and 5000,26,20,42,2,21,36,10,2,1,4,2,3,0,0,0,0,0,0,0,0,No
2013-11-22,22,Nov,2013,48,1965,PhD,Married,0,0,84618.0,7051.5,higher than 7000,96,21,801,100,66,684,0,1,9,10,6,2,0,0,0,0,0,1,0,1,Yes
